Score,Number_of_Dice,Used_Dice,Reroll_Dice,Single_Fives,Single_Ones
0,1,0,1,0,0
50,1,1,0,1,0
100,1,1,0,0,1
0,2,0,2,0,0
50,2,1,1,1,0
100,2,1,1,0,1
100,2,2,0,2,0
150,2,2,0,1,1
200,2,2,0,0,2
0,3,0,3,0,0
50,3,1,2,1,0
100,3,1,2,0,1
100,3,2,1,2,0
150,3,2,1,1,1
200,3,2,1,0,2
200,3,3,0,0,0
200,3,3,0,2,1
250,3,3,0,1,2
300,3,3,0,0,0
400,3,3,0,0,0
500,3,3,0,0,0
600,3,3,0,0,0
0,4,0,4,0,0
50,4,1,3,1,0
100,4,1,3,0,1
100,4,2,2,2,0
150,4,2,2,1,1
200,4,2,2,0,2
200,4,3,1,2,1
200,4,3,1,0,0
250,4,3,1,1,2
250,4,4,0,1,0
300,4,3,1,0,0
300,4,4,0,2,2
300,4,4,0,0,1
350,4,4,0,1,0
400,4,3,1,0,0
400,4,4,0,0,1
450,4,4,0,1,0
500,4,3,1,0,0
500,4,4,0,0,1
600,4,3,1,0,0
600,4,4,0,0,1
650,4,4,0,1,0
700,4,4,0,0,1
1000,4,4,0,0,0
0,5,0,5,0,0
50,5,1,4,1,0
100,5,1,4,0,1
100,5,2,3,2,0
150,5,2,3,1,1
200,5,2,3,0,2
200,5,3,2,0,0
200,5,3,2,2,1
250,5,3,2,1,2
250,5,4,1,1,0
300,5,3,2,0,0
300,5,4,1,2,2
300,5,4,1,0,1
300,5,5,0,2,0
350,5,4,1,1,0
350,5,5,0,1,1
400,5,3,2,0,0
400,5,4,1,0,1
400,5,5,0,2,0
400,5,5,0,0,2
450,5,4,1,1,0
450,5,5,0,1,1
500,5,3,2,0,0
500,5,4,1,0,1
500,5,5,0,2,0
500,5,5,0,0,2
550,5,5,0,1,1
600,5,3,2,0,0
600,5,4,1,0,1
600,5,5,0,0,2
650,5,4,1,1,0
700,5,4,1,0,1
700,5,5,0,2,0
700,5,5,0,0,2
750,5,5,0,1,1
800,5,5,0,0,2
1000,5,4,1,0,0
1050,5,5,0,1,0
1100,5,5,0,0,1
2000,5,5,0,0,0
0,6,0,6,0,0
50,6,1,5,1,0
100,6,1,5,0,1
100,6,2,4,2,0
150,6,2,4,1,1
200,6,2,4,0,2
200,6,3,3,2,1
200,6,3,3,0,0
250,6,3,3,1,2
250,6,4,2,1,0
300,6,3,3,0,0
300,6,4,2,2,2
300,6,4,2,0,1
300,6,5,1,2,0
350,6,4,2,1,0
350,6,5,1,1,1
400,6,3,3,0,0
400,6,4,2,0,1
400,6,5,1,2,0
400,6,5,1,0,2
400,6,6,0,2,1
450,6,4,2,1,0
450,6,5,1,1,1
450,6,6,0,1,2
500,6,3,3,0,0
500,6,4,2,0,1
500,6,5,1,2,0
500,6,5,1,0,2
500,6,6,0,2,1
550,6,5,1,1,1
550,6,6,0,1,2
600,6,3,3,0,0
600,6,4,2,0,1
600,6,5,1,0,2
600,6,6,0,2,1
650,6,4,2,1,0
650,6,6,0,1,2
700,6,4,2,0,1
700,6,5,1,2,0
700,6,5,1,0,2
750,6,5,1,1,1
800,6,5,1,0,2
800,6,6,0,2,1
850,6,6,0,1,2
1000,6,4,2,0,0
1050,6,5,1,1,0
1100,6,5,1,0,1
1150,6,6,0,1,1
1500,6,6,0,0,0
2000,6,5,1,0,0
2050,6,6,0,1,0
2100,6,6,0,0,1
2500,6,6,0,0,0
3000,6,6,0,0,0
